model,features,num_features,roc_auc,f1,accuracy,precision,recall
Logistic Regression,"b2bDiff,close_b2b,netRatingDiff,offRatingDiff,restDiff",5,0.6958217639610738,0.7294898382413936,0.6522341900394583,0.6597149287321831,0.815769944341373
Logistic Regression,"b2bDiff,closeGame,close_b2b,defRatingDiff,netRating_b2b,offRatingDiff,restDiff",7,0.6958216708942282,0.7296535720205536,0.6521275461234937,0.6593768723786698,0.8166975881261596
Logistic Regression,"absNetRatingDiff,b2bDiff,close_b2b,netRatingDiff,netRating_rest,offRatingDiff",6,0.6958214847605366,0.7286331892251413,0.6519142582915645,0.6601385959626394,0.812987012987013
Logistic Regression,"b2bDiff,closeGame,close_b2b,defRatingDiff,netRatingDiff,netRating_b2b",6,0.6958211124931537,0.7300903289964366,0.6526607657033167,0.6597274224951325,0.8172541743970315
Logistic Regression,"b2bDiff,close_b2b,defRatingDiff,offRatingDiff",4,0.6958206471589252,0.7297319724504191,0.6526607657033167,0.6601110944302657,0.815769944341373
Logistic Regression,"b2bDiff,closeGame,close_b2b,defRatingDiff,netRatingDiff,netRating_b2b,offRatingDiff,restDiff",8,0.6958195768901994,0.7297588464407061,0.6522341900394583,0.659427886775498,0.8168831168831169
Logistic Regression,"b2bDiff,close_b2b,defRatingDiff,netRatingDiff,restDiff",5,0.6958193907565078,0.7295054762694988,0.6523408339554229,0.6598619033323326,0.8155844155844156
Logistic Regression,"absNetRatingDiff,b2bDiff,close_b2b,defRatingDiff,netRating_rest,offRatingDiff",6,0.6958192511562393,0.728709248170326,0.6521275461234937,0.6603858908652397,0.8128014842300556
Logistic Regression,"absNetRatingDiff,b2bDiff,close_b2b,defRatingDiff,netRatingDiff,netRating_rest",6,0.6958191580893935,0.7287698577726025,0.6522341900394583,0.6604854515302276,0.8128014842300556
Logistic Regression,"b2bDiff,closeGame,close_b2b,defRatingDiff,netRating_b2b,offRatingDiff",6,0.6958187392885877,0.7299403183023873,0.6525541217873521,0.659724303266407,0.8168831168831169
Logistic Regression,"b2bDiff,closeGame,netRatingDiff,netRating_b2b,offRatingDiff",5,0.695818320487782,0.7284801195318337,0.6511677508798123,0.6591557758750187,0.814100185528757
Logistic Regression,"b2bDiff,closeGame,close_b2b,defRatingDiff,netRatingDiff,netRating_b2b,offRatingDiff",7,0.6958183204877819,0.7301508370628211,0.6527674096192813,0.6598262432594368,0.8172541743970315
Logistic Regression,"absNetRatingDiff,b2bDiff,close_b2b,defRatingDiff,netRatingDiff,netRating_b2b,netRating_rest,offRatingDiff",8,0.6958179016869761,0.728709248170326,0.6521275461234937,0.6603858908652397,0.8128014842300556
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,close_b2b,defRatingDiff,netRatingDiff,netRating_rest,offRatingDiff",8,0.6958177155532848,0.7286344345510527,0.6522341900394583,0.6606307529802323,0.8122448979591836
Logistic Regression,"b2bDiff,close_b2b,defRatingDiff,netRatingDiff,netRating_b2b,offRatingDiff",6,0.6958170175519418,0.7295054762694988,0.6523408339554229,0.6598619033323326,0.8155844155844156
